icon;id;translations
;30;"[{""category_name"":""audition"",""languages_code"":""fr-FR""},{""category_name"":""audition"",""languages_code"":""en-US""}]"
;31;"[{""category_name"":""vision"",""languages_code"":""fr-FR""},{""category_name"":""vision"",""languages_code"":""en-US""}]"
;32;"[{""category_name"":""motricité"",""languages_code"":""fr-FR""},{""category_name"":""motricity"",""languages_code"":""en-US""}]"
;33;"[{""category_name"":""maladie"",""languages_code"":""fr-FR""},{""category_name"":""disease"",""languages_code"":""en-US""}]"
;34;"[{""category_name"":""cognition"",""languages_code"":""fr-FR""},{""category_name"":""cognition"",""languages_code"":""en-US""}]"
;35;"[{""category_name"":""comportement - communication"",""languages_code"":""fr-FR""},{""category_name"":""behaviour - communication"",""languages_code"":""en-US""}]"
;36;"[{""category_name"":""morphologie"",""languages_code"":""fr-FR""},{""category_name"":""morphology"",""languages_code"":""en-US""}]"
;37;"[{""category_name"":""précarité"",""languages_code"":""fr-FR""},{""category_name"":""precariousness"",""languages_code"":""en-US""}]"
;38;"[{""category_name"":""précarité - illectronisme"",""languages_code"":""fr-FR""},{""category_name"":""precariousness - ilelectronism"",""languages_code"":""en-US""}]"
